lambda,mu1,theta,c,Empirical_Optimal_Cost,Empirical_Optimal_Cost_Std,Approx_Optimal_Cost,Empirical_Optimal_Mu2,Approx_Optimal_Mu2,Empirical_Optimal_Rho,Approx_Optimal_Rho,Mismatch_cost,Rel Mismatch Cost
0.5,1,4,0.5,1.135555139,0.005233148,1.677681732,0.71862595,0.772404997,0.495443403,0.460947932,-0.00443195,-0.003902893
0.5,1.2,1.1,0.5,1.27125698,0.006070886,1.797281745,0.84084687,0.860858222,0.48958019,0.478199498,-0.002539593,-0.001997702
0.5,1.2,1.2,0.5,1.264669302,0.00602273,1.791374291,0.823441633,0.85666609,0.496588012,0.477328622,-0.00243488,-0.00192531
0.5,1.2,1.5,0.5,1.246015287,0.005194971,1.776647627,0.823179196,0.844567637,0.488427011,0.476057733,-0.003900319,-0.003130234
0.5,1.2,2,0.5,1.224909772,0.005026719,1.758857463,0.799441134,0.831959792,0.492611661,0.473357041,-0.006030223,-0.004922994
0.5,1.2,4,0.5,1.184555327,0.005090358,1.723459398,0.773574919,0.806908402,0.488013441,0.467853547,-0.004979871,-0.004204
0.1,0.5,1.1,0.75,0.581656922,0.001986634,1.350189016,0.335774654,0.344490909,0.261456559,0.254841226,-0.001691839,-0.002908654
0.1,0.5,1.2,0.75,0.580173531,0.001776497,1.349117374,0.327151215,0.343829988,0.267522054,0.254544886,-0.00194125,-0.003345982
0.1,0.5,1.5,0.75,0.577004277,0.001893831,1.346560692,0.332863356,0.342253547,0.26099716,0.253836349,-0.000887686,-0.001538439
0.1,0.5,2,0.75,0.573240507,0.001980651,1.343686277,0.325380209,0.340481841,0.264781217,0.253037189,-0.001299455,-0.002266858
0.1,0.5,4,0.75,0.566593776,0.001878016,1.338626207,0.314533041,0.337364779,0.269889022,0.25162382,-0.001150082,-0.002029818
0.1,0.7,1.1,0.75,0.600996706,0.002200466,1.366245592,0.343982369,0.354400433,0.267084752,0.259233447,-0.001709802,-0.002844944
0.1,0.7,1.2,0.75,0.600020209,0.001878191,1.365314656,0.343422637,0.353826307,0.266827407,0.258981794,-0.00170153,-0.002835788
0.1,0.7,1.5,0.75,0.596534295,0.001991345,1.363044264,0.341317113,0.352426273,0.266776105,0.258366804,-0.001970365,-0.00330302
0.1,0.7,2,0.75,0.593179095,0.002080964,1.360404888,0.335307504,0.350799043,0.269553333,0.257649663,-0.001286922,-0.002169534
0.1,0.7,4,0.75,0.586304149,0.001986328,1.355518279,0.336070989,0.347787529,0.265251816,0.256315804,-0.001678881,-0.002863498
0.1,0.9,1.1,0.75,0.613308754,0.002297314,1.375172897,0.350104247,0.359906107,0.268955081,0.261630226,-0.002462935,-0.004015816
0.1,0.9,1.2,0.75,0.612101613,0.002420589,1.37437542,0.349624057,0.359414509,0.268737919,0.261417498,-0.002168967,-0.003543475
0.1,0.9,1.5,0.75,0.608926692,0.002145859,1.372394564,0.348431371,0.358193473,0.268197494,0.260888117,-0.001873407,-0.003076572
0.1,0.9,2,0.75,0.606219323,0.002229268,1.370025389,0.346256721,0.356733213,0.26812748,0.260253148,-0.000464591,-0.000766374
0.1,0.9,4,0.75,0.599561687,0.0022431,1.365438463,0.343501049,0.353906723,0.266864793,0.259018353,-0.001171335,-0.001953652
0.1,1,1.1,0.75,0.616906605,0.002100641,1.378241161,0.356495769,0.361797309,0.266349256,0.262446349,-0.002496469,-0.004046754
0.1,1,1.2,0.75,0.616530428,0.002211433,1.377503081,0.352263816,0.361342437,0.269009167,0.262250392,-0.001749806,-0.00283815
0.1,1,1.5,0.75,0.613707745,0.002250859,1.375654978,0.35492184,0.360203479,0.265654125,0.261758857,-0.001561766,-0.002544804
0.1,1,2,0.75,0.610127149,0.002399664,1.373416466,0.349047255,0.358823997,0.268476946,0.261161856,-0.002069698,-0.00339224
0.1,1,4,0.75,0.603718173,0.002302131,1.36899289,0.34563789,0.356098484,0.267845125,0.259977023,-0.001136047,-0.001881751
0.1,1.2,1.1,0.75,0.623714021,0.002499022,1.382729253,0.359988676,0.364562412,0.26698249,0.263632975,-0.00126522,-0.002028526
0.1,1.2,1.2,0.75,0.622828312,0.002476569,1.382094706,0.359601964,0.364171524,0.266813622,0.263465692,-0.000988041,-0.001586378
0.1,1.2,1.5,0.75,0.620491297,0.002456666,1.380483079,0.354060816,0.363178716,0.269814047,0.263040144,-0.001602928,-0.002583321
0.1,1.2,2,0.75,0.617352997,0.002173113,1.378486284,0.352857035,0.361948627,0.269275354,0.262511572,-0.002144226,-0.003473258
0.1,1.2,4,0.75,0.610852339,0.002299783,1.374389011,0.349634134,0.35942482,0.268743106,0.261422579,-0.002356393,-0.003857549
0.3,0.5,1.1,0.75,0.956290832,0.00326843,1.745259214,0.560985016,0.606133726,0.374914333,0.34698832,-0.003035864,-0.003174624
0.3,0.5,1.2,0.75,0.951728127,0.003503234,1.741199965,0.558443271,0.603426697,0.374094381,0.346206907,-0.003964015,-0.004165071
0.3,0.5,1.5,0.75,0.939950834,0.003505023,1.731547787,0.575275084,0.59699849,0.357342938,0.344340048,-0.004819808,-0.005127724
0.3,0.5,2,0.75,0.927217879,0.003360648,1.720735188,0.563775506,0.589812194,0.358039321,0.342234021,-0.004231788,-0.004563963
0.3,0.5,4,0.75,0.904817199,0.002769702,1.70174502,0.544977343,0.576117374,0.358529727,0.339150643,-0.003588251,-0.003965719
0.3,0.7,1.1,0.75,1.031381332,0.003628468,1.81689448,0.620970031,0.654238353,0.379731886,0.360422345,-0.001997737,-0.001936953
0.3,0.7,1.2,0.75,1.026770247,0.003650172,1.812811823,0.610995636,0.651518734,0.383552875,0.359696691,-0.003352294,-0.003264892
0.3,0.7,1.5,0.75,1.014749793,0.003645708,1.802928165,0.610840288,0.644939386,0.377910425,0.357929625,-0.00440305,-0.00433905
0.3,0.7,2,0.75,1.001245208,0.00333893,1.791545864,0.602394136,0.637371651,0.376540685,0.355876984,-0.004647493,-0.004641713
0.3,0.7,4,0.75,0.975176005,0.003124237,1.7706851,0.586808714,0.623532177,0.374100559,0.352067586,-0.005438213,-0.005576648
0.3,0.9,1.1,0.75,1.08016302,0.004489057,1.861585047,0.654629398,0.685295794,0.384700617,0.367485596,-0.005022121,-0.00464941
0.3,0.9,1.2,0.75,1.076008009,0.004411981,1.85772542,0.652163621,0.682736328,0.384037468,0.366840397,-0.00391195,-0.003635614
0.3,0.9,1.5,0.75,1.063468538,0.004676835,1.848231658,0.644834647,0.675176595,0.383144588,0.365926348,-0.004183757,-0.003934067
0.3,0.9,2,0.75,1.049227526,0.004171223,1.837024191,0.636436225,0.667758107,0.381933577,0.364018589,-0.005667894,-0.005401968
0.3,0.9,4,0.75,1.023629923,0.00376668,1.815659948,0.620390306,0.653631039,0.379634452,0.360327953,-0.004033127,-0.003940025
0.3,1,1.1,0.75,1.097844321,0.004113231,1.877954981,0.666373814,0.696142249,0.386726011,0.370188834,-0.004689882,-0.004271901
0.3,1,1.2,0.75,1.094093127,0.004516859,1.874244363,0.664007668,0.693690287,0.386104983,0.369583767,-0.004553075,-0.004161506
0.3,1,1.5,0.75,1.082802815,0.004412807,1.865051103,0.65045611,0.68761354,0.389099991,0.36807371,-0.004603362,-0.004251339
0.3,1,2,0.75,1.07027945,0.003813836,1.854074189,0.642250265,0.679086444,0.387981915,0.36693633,-0.002733282,-0.002553802
0.3,1,4,0.75,1.043354924,0.003724878,1.832758992,0.633807411,0.665023401,0.381232534,0.363337599,-0.004145005,-0.003972766
0.3,1.2,1.1,0.75,1.126452634,0.004790834,1.902991973,0.684918188,0.712623866,0.389313578,0.374177688,-0.005176739,-0.004595612
0.3,1.2,1.2,0.75,1.12275683,0.004372985,1.899602469,0.682764871,0.710399671,0.388770822,0.373647499,-0.00496345,-0.00442077
0.3,1.2,1.5,0.75,1.111580526,0.005669594,1.891092782,0.676047185,0.704811197,0.388146561,0.372305932,-0.003939172,-0.003543758
0.3,1.2,2,0.75,1.099352893,0.00479344,1.880717022,0.669455467,0.697991256,0.38645025,0.370651109,-0.003507324,-0.003190353
0.3,1.2,4,0.75,1.072467772,0.004457501,1.85986033,0.653647031,0.684274815,0.384476019,0.367267073,-0.006208644,-0.005789119
0.5,0.5,1.1,0.75,1.162252932,0.004165826,1.952139608,0.705110226,0.75186885,0.411017682,0.385456547,-0.003577926,-0.00307844
0.5,0.5,1.2,0.75,1.154570915,0.004473161,1.94595573,0.714723405,0.747577848,0.402089397,0.38441843,-0.003704327,-0.003208401
0.5,0.5,1.5,0.75,1.137352583,0.00472837,1.931186401,0.703512916,0.737358943,0.400304234,0.38192959,-0.005211472,-0.004582108
0.5,0.5,2,0.75,1.118595589,0.003879603,1.914521961,0.689784163,0.72587788,0.398941622,0.379104558,-0.00575864,-0.005148098
0.5,0.5,4,0.75,1.083066229,0.004492954,1.884906645,0.654644127,0.70559793,0.403148717,0.374035876,-0.005901149,-0.005448558
0.5,0.7,1.1,0.75,1.289387089,0.00437562,2.076240977,0.786176746,0.841771494,0.434160812,0.405486688,-0.003672179,-0.002848004
0.5,0.7,1.2,0.75,1.282241853,0.005087145,2.069423851,0.799586603,0.836979624,0.423359749,0.404445669,-0.004337494,-0.003382742
0.5,0.7,1.5,0.75,1.262496181,0.005432463,2.052914118,0.786947625,0.825405478,0.421554524,0.401913169,-0.004688381,-0.00371358
0.5,0.7,2,0.75,1.240232497,0.004397747,2.033869547,0.755168694,0.812109427,0.429054967,0.398971947,-0.004395212,-0.003543861
0.5,0.7,4,0.75,1.19917067,0.004735688,1.998793162,0.720813175,0.787776616,0.430053578,0.393497698,-0.005801448,-0.004837884
0.5,0.9,1.1,0.75,1.378304573,0.005018804,2.15976396,0.872531507,0.902669421,0.431708052,0.417294381,-0.004815834,-0.003494027
0.5,0.9,1.2,0.75,1.369686616,0.005215283,2.152834823,0.837793514,0.8978098,0.446147519,0.4163237,-0.004262461,-0.003111997
0.5,0.9,1.5,0.75,1.349886722,0.005028583,2.135843843,0.832783101,0.884349251,0.440334201,0.414658441,-0.005892191,-0.004364952
0.5,0.9,2,0.75,1.325242414,0.005128006,2.115850444,0.817949206,0.870406246,0.438217622,0.411807426,-0.006712109,-0.005064816
